,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO80,95Q,ACDO80,ACDOMM,Urange,Delta,RHavgOverall
25,"Detroit, MI",DCA LCD,WBTmax,50.45776279755635,16.80114731103558,-0.2934314157123481,4747,-1.0,78.28787878787878,82.0,52.0,64.0,0.05,0.3,74.0,0.2857142857142857,0.0,31.54223720244365,27.83011599032244,71.13989435529771
26,"Dickinson, ND",DRA LCD,WBTmax,43.75743931088488,18.14159734666723,-0.5030275658214114,5108,-27.0,74.875,80.0,45.0,34.0,0.0,0.0,69.0,0.0,0.0,36.24256068911512,31.11756068911512,72.05358574507032
27,"Dodge City, KS",DCA LCD,WBTmax,53.41084634346754,15.151880854279938,-0.4129817554377801,7302,0.0,75.61146496815287,79.0,55.0,71.0,0.0,0.0,73.0,0.0,0.0,25.58915365653246,22.200618624685333,64.49237809441135
28,"Fargo, ND",FHA LCD,WBTmax,44.33907412510334,20.67419234379798,-0.4223762230471315,7258,-24.0,78.46511627906976,85.0,47.0,66.0,0.15,0.3,73.0,0.2,0.0,40.66092587489666,34.126042153966424,72.78018814634571
29,"Fresno, CA",FYI LCD,WBTmax,58.688699945145366,8.086759975422371,-0.2006245030270871,7292,0.0,74.91954022988506,81.0,59.0,67.0,0.0,0.05,71.0,0.0,0.0,22.31130005485464,16.230840284739692,57.50183124870431
30,"Grand Junction, CO",GJS LCD,WBTmax,46.86346206518762,12.338126747404988,-0.3302212230384302,7302,0.0,67.6082474226804,72.0,48.0,57.0,0.0,0.0,65.0,0.0,0.0,25.13653793481238,20.744785357492788,50.02244446870054
31,"Havre, MT",HAS LCD,WBTmax,43.185606579849214,16.74545425899459,-0.8066659504669722,7295,-22.0,70.20779220779221,76.0,45.0,61.0,0.0,0.0,65.0,0.0,0.0,32.814393420150786,27.022185627943,65.84906441357828
32,"Helena, MT",HAA LCD,WBTmax,43.18235548508001,14.554467994613328,-0.6082480530432303,6937,-17.0,66.91346153846153,71.0,44.0,60.0,0.0,0.0,63.0,0.0,0.0,27.81764451491999,23.731106053381524,58.632741700493895
33,"Honolulu, HI",HIA LCD,WBTmax,71.7388090349076,2.94944043089316,-2.33361584452402,7305,0.0,78.57264957264957,82.0,72.0,72.0,0.05,0.15,76.0,0.1,0.0,10.261190965092396,6.833840537741963,68.40984800345089
34,"Houston, TX",HWA LCD,WBTmax,68.37944880452638,11.015180799940287,-0.9927014585733044,5479,0.0,81.30049261083744,86.0,71.0,79.0,2.2,9.25,80.0,1.9234375,0.5580357142857143,17.620551195473624,12.921043806311062,75.05966531014808
35,"Idaho Falls, ID",IFA LCD,WBTmax,44.10737336201839,13.802978247208484,-0.3680418646890707,5113,-1.0,68.38157894736842,74.0,45.0,59.0,0.0,0.0,64.0,0.0,0.0,29.89262663798161,24.27420558535004,67.13329931309129
36,"Indianapolis, IN",IIA LCD,WBTmax,53.47077344284737,16.701723609979734,-0.4420358307836089,7305,0.0,79.73033707865169,83.0,56.0,71.0,0.35,0.8,76.0,0.4,0.2,29.52922655715264,26.25956363580432,72.64175213658974
37,"Jacksonville, FL",JIA LCD,WBTmax,67.79479808350445,10.438840507775398,-0.9329163948363168,7305,0.0,81.2937062937063,86.0,70.0,78.0,1.5,6.55,80.0,1.4833333333333336,0.8,18.20520191649556,13.498908210201847,78.59533583857012
