,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall
25,"Dickinson, ND",DRA LCD,WBTmin,50.824949014276,5.848670842697885,-0.0696942771051836,2942,32.0,34.878787878787875,72.0,51.0,50.0,0.0,0.0285714285714285,41.0,0.0625,0.0,18.824949014276,15.946161135488126,68.74575248164174
26,"Dodge City, KS",DCA LCD,WBTmin,60.85786143112121,4.906649030419577,-0.9109293697117664,6163,39.0,44.33870967741935,76.0,62.0,64.0,0.0,0.1125,51.0,0.0,0.0,21.857861431121208,16.519151753701856,63.6251790004033
27,"Fargo, ND",FHA LCD,WBTmin,55.35174469577415,6.681638459408022,-0.2249637091056021,5703,31.0,36.88405797101449,79.0,56.0,57.0,0.0142857142857142,0.3857142857142857,44.0,0.2419354838709677,0.0,24.35174469577415,18.46768672475966,71.30835996563705
28,"Fresno, CA",FYI LCD,WBTmin,57.575302245250434,4.508994431227571,-0.098468454431195,5790,41.0,45.828947368421055,73.0,58.0,58.0,0.0,0.1142857142857142,50.0,0.0317460317460317,0.0,16.575302245250434,11.74635487682938,59.80673112324926
29,"Grand Junction, CO",GJS LCD,WBTmin,50.75093298718157,5.922845953762811,-0.2272153743008078,6163,30.0,35.151898734177216,64.0,51.0,50.0,0.0,0.0,41.0,0.0,0.0,20.75093298718157,15.599034253004357,48.53176652593117
30,"Havre, MT",HAS LCD,WBTmin,48.37239634027642,5.381686293577352,-0.0982856018491274,5137,28.0,33.440677966101696,66.0,48.0,47.0,0.0,0.0,39.0,0.0,0.0,20.372396340276424,14.931718374174729,63.882306007509385
31,"Helena, MT",HAA LCD,WBTmin,46.76712779973649,4.965140648384398,-0.2160888500154723,6072,27.0,33.45054945054945,62.0,47.0,46.0,0.0,0.0,38.0,0.0,0.0,19.76712779973649,13.31657834918704,59.01082491607659
32,"Honolulu, HI",HIA LCD,WBTmin,69.02430555555556,1.851241863732767,0.0455349934268199,6624,62.0,64.58201058201058,76.0,69.0,69.0,0.0,15.0125,66.0,3.2003086419753086,0.0,7.024305555555557,4.442294973544975,68.46217273564248
33,"Houston, TX",HWA LCD,WBTmin,72.96003836317135,2.79202398852382,-1.329767337073533,3128,56.0,61.526315789473685,79.0,73.0,74.0,0.0285714285714285,36.72857142857143,68.0,19.716316526610647,0.0,16.96003836317135,11.433722573697665,74.90032184700092
34,"Idaho Falls, ID",IFA LCD,WBTmin,45.98463268365817,5.229671499770658,-0.1813702740535986,2668,25.0,32.02325581395349,63.0,46.0,45.0,0.0,0.0,37.0,0.0,0.0,20.98463268365817,13.96137686970468,64.86131171702284
35,"Indianapolis, IN",IIA LCD,WBTmin,61.93364698247891,6.305877556785184,-0.4399245189398832,6164,36.0,43.86363636363637,77.0,63.0,63.0,0.0,5.814285714285714,51.0,2.064676616915423,0.0,25.933646982478912,18.070010618842545,72.85787104300496
36,"Jacksonville, FL",JIA LCD,WBTmin,70.89906832298136,2.9429224901059805,-1.411623891440716,5796,46.0,59.177215189873415,80.0,71.0,72.0,0.0142857142857142,52.17142857142857,65.0,7.877130717606909,0.0,24.899068322981364,11.721853133107947,77.1008903429376
37,"Kansas City, Missouri",KCA LCD,WBTmin,62.83943661971831,5.843301502794093,-0.4333455680653837,1065,43.0,47.0625,80.0,64.0,65.0,0.04,1.48,52.0,0.8409090909090909,0.0,19.83943661971832,15.776936619718311,65.37514660916158
38,"Klamath Falls, OR",KIA LCD,WBTmin,45.51701966717096,6.135886666750597,-0.0305920640536051,2644,25.0,28.89655172413793,68.0,45.0,45.0,0.0,0.0,35.0,0.0,0.0,20.51701966717096,16.620467943033024,66.28106969795752
39,"Las Vegas, NV",MIA LCD,WBTmin,56.26091972968519,6.361842894061491,0.1200017314241434,6067,36.0,41.58974358974359,73.0,56.0,54.0,0.0,0.2142857142857142,46.0,0.1212121212121212,0.0,20.260919729685185,14.671176139941592,29.36589625561554
40,"Lebanon, NH",LMA LCD,WBTmin,54.73550724637681,6.514446607178048,-0.0767881634649762,1380,31.0,37.9375,72.0,55.0,53.0,0.0,0.04,44.0,0.0,0.0,23.73550724637681,16.798007246376812,74.76129972380312
41,"Los Angeles, CA",LAI LCD,WBTmin,60.21594414677708,3.0979253485680727,-0.289581527267955,6159,47.0,50.901234567901234,70.0,60.0,60.0,0.0,0.0,55.0,0.0,0.0,13.215944146777076,9.314709578875842,71.62437479853978
42,"Louisville, KY",LIA LCD,WBTmin,64.74740428293316,5.771184608266676,-0.5794774835112755,6164,40.0,48.4,78.0,66.0,68.0,0.0,13.585714285714284,54.0,3.2445273631840794,0.0,24.74740428293316,16.347404282933162,69.12018659331363
43,"Memphis, TN",MIA LCD,WBTmin,68.77551358515574,4.823024716243946,-0.8786726606227323,6036,49.0,53.15151515151515,79.0,70.0,71.0,0.0142857142857142,36.47142857142857,59.0,6.205608028335302,0.0,19.775513585155736,15.623998433640589,68.20348045272728
44,MIA second try,,WBTmin,73.49529526281636,2.1038446143571963,-0.6930998571256984,6164,58.0,66.56666666666666,79.0,74.0,74.0,0.0857142857142857,80.05714285714286,70.0,30.330780620706,0.0,15.495295262816356,6.928628596149693,73.2323042281396
45,"Miles City, MT",MCA LCD,WBTmin,52.53229588573865,5.364597649936741,-0.2289316223460767,4691,32.0,37.18518518518518,69.0,53.0,52.0,0.0,0.0,44.0,0.0,0.0,20.532295885738648,15.347110700553465,62.58395532089705
46,"Milwaukee, WI",MMA LCD,WBTmin,58.23261261261261,6.730523414007828,-0.2895540096188158,5550,36.0,40.493975903614455,80.0,59.0,60.0,0.0142857142857142,1.5142857142857142,46.0,0.6475409836065574,0.0,22.232612612612613,17.738636708998158,72.30356174231814
47,"Minneapolis, MN",MIA LCD,WBTmin,58.58881417090373,6.347518297703786,-0.2855770199473699,6097,33.0,40.829268292682926,78.0,59.0,60.0,0.0,1.475,48.0,0.6069651741293534,0.0,25.588814170903724,17.7595458782208,69.07008187338843
48,"Moline, IL",MCA LCD,WBTmin,60.74625623960067,6.573481246751691,-0.2955163594127707,6010,39.0,43.35384615384616,78.0,61.0,66.0,0.0,4.542857142857143,49.0,1.6325757575757576,0.0,21.74625623960067,17.392410085754513,71.5757811521603
49,"Montpelier, VT",MPA LCD,WBTmin,53.5195652173913,6.407223716477603,-0.0519374380981797,1380,34.0,37.625,71.0,54.0,56.0,0.0,0.02,43.0,0.0,0.0,19.519565217391303,15.894565217391303,75.33711021708955
50,"Nashville, TN",NIA LCD,WBTmin,66.22826086956522,4.99790020115475,-0.8944408835626566,5336,43.0,50.18055555555556,78.0,67.0,69.0,0.0,14.485714285714286,57.0,3.586309523809524,0.0,23.22826086956522,16.04770531400966,69.72026127062651
51,"New Orleans, LA",NOA LCD,WBTmin,72.08682820751787,3.23973425957948,-1.0513344668436382,6438,49.0,60.42105263157895,80.0,73.0,73.0,0.2571428571428571,67.55714285714286,66.0,15.147474747474748,0.0357142857142857,23.08682820751787,11.665775575938923,75.48808681913351
52,"Norfolk, VA",NIA LCD,WBTmin,67.14811810512654,5.24688604183032,-0.7530597499241866,6164,47.0,50.55223880597015,79.0,68.0,70.0,0.0142857142857142,25.714285714285715,57.0,4.628405591092158,0.0,20.148118105126542,16.595879299156394,71.31917353049863
53,"NYC, NY",CPS LCD,WBTmin,62.30107526881721,5.78878834717463,-0.3679068700038093,2790,41.0,45.310344827586206,77.0,63.0,63.0,0.0,2.833333333333333,52.0,1.8697916666666663,0.0,21.301075268817208,16.990730441231,67.37309742133681
54,"Oklahoma City, OK",OCT LCD,WBTmin,66.41146278870829,4.382394047379921,-0.9695931656714096,3507,47.0,51.095238095238095,79.0,67.0,69.0,0.0142857142857142,6.628571428571429,58.0,2.0741050320837555,0.0,19.41146278870829,15.316224693470197,66.3506609500472
55,"Omaha, NE",OEA LCD,WBTmin,62.36655887388244,6.066065814861853,-0.4374591908896194,5257,39.0,45.21212121212121,77.0,63.0,65.0,0.0,5.328571428571428,51.0,2.3160919540229887,0.0,23.36655887388244,17.15443766176123,69.78960392427129
56,"Philadelphia, PA",PIA LCD,WBTmin,63.05759247242051,6.345382552115223,-0.4357508094690384,6164,41.0,45.225352112676056,79.0,64.0,67.0,0.0285714285714285,9.82857142857143,52.0,2.4191542288557217,0.0,22.05759247242051,17.832240359744453,67.55853429638438
57,"Phoenix, AZ",PAS LCD,WBTmin,63.87416788439682,6.857128487286234,-0.5652415688914094,6159,41.0,46.69565217391305,76.0,66.0,70.0,0.0,15.4,52.0,3.947690120824449,0.0,22.87416788439682,17.178515710483772,35.48917394576403
58,"Pierre, SD",PRA LCD,WBTmin,56.60493827160494,6.108182006951989,-0.3063223703750485,5670,35.0,39.492537313432834,76.0,57.0,59.0,0.0,0.175,46.0,0.0483870967741935,0.0,21.604938271604937,17.112400958172103,67.27236099919419
59,"Pine Bluff, AK",PBG LCD,WBTmin,69.03260869565217,4.029918239963926,-0.8488245018165997,1840,52.0,56.285714285714285,77.0,70.0,72.0,0.0,10.871428571428572,61.0,6.282519841269842,0.0,17.032608695652172,12.746894409937887,72.1291664081982
60,"Pine Springs, TX",PSG LCD,WBTmin,57.12761904761905,3.9396517911901374,-1.1962407013537537,1575,39.0,43.91304347826087,68.0,58.0,58.0,0.0,0.0,49.0,0.0,0.0,18.12761904761905,13.214575569358182,45.4038705014111
61,"Pittsburgh, PA",PAA LCD,WBTmin,60.17330917874396,5.75355698979712,-0.362465388161423,1656,41.0,45.333333333333336,75.0,61.0,63.0,0.0,0.3285714285714285,50.0,0.9444444444444444,0.0,19.173309178743963,14.839975845410628,70.44550286696732
62,"Portland, OR",PIA LCD,WBTmin,53.61124320652174,3.9036705766165634,-0.0820405031856361,5888,40.0,43.17460317460318,69.0,54.0,54.0,0.0,0.0,47.0,0.0,0.0,13.611243206521742,10.436640031918564,74.65783678907195
63,"Rapid City, SD",RCA LCD,WBTmin,52.68395915678524,5.716463142537693,-0.3802311675462085,6072,31.0,36.225352112676056,70.0,53.0,53.0,0.0,0.0,43.0,0.0,0.0,21.68395915678524,16.458607044109186,62.96657114977492
