,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO70,95Q,ACDO70,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,HImin,63.1583756393862,5.269078233689852,-0.8227011588045982,6256,36.069,44.85658730158732,76.81600000000002,63.85100000000001,65.49600000000001,0.0,5.7,53.13300000000001,1.362009803921569,0.0,27.089375639386205,18.30178833779888,42.49595905295491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Amarillo, TX",AAS LCD,HImin,64.23544035625639,5.090509539655383,-0.8015909408887468,6849,38.983,46.39228571428571,76.60900000000001,64.866,65.148,0.0,8.9875,54.712,2.2107936507936508,0.0,25.2524403562564,17.843154641970678,59.06518562307874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Atlanta, GA",AHJ LCD,HImin,70.57903736477938,4.3777231982579465,-0.930301593164524,6164,44.342,53.9941129032258,87.59790833999998,71.11800000000001,72.21800000000002,0.0,53.41428571428571,62.52500000000001,8.533166708912978,0.0,26.237037364779383,16.584924461553584,69.17149640398807,0.0074626865671641,0.0074626865671641,0.0,0.0,0.0,0.0,0.0
4,"Augusta, ME",ASA LCD,HImin,57.95078428093646,6.778785802022569,-0.4746738442926818,4784,1.0,37.56783333333334,78.536,58.2,57.10000000000001,0.0,1.8428571428571427,46.683,0.8435897435897436,0.0,56.95078428093646,20.38295094760312,73.13627070443104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Austin, TX",ABI LCD,HImin,74.28589478356334,4.376963518573484,0.0768533927543425,2290,56.301,60.56969565217391,97.35185320000008,74.41800000000002,74.41800000000002,0.2333333333333333,62.9,66.71800000000002,21.067901875901875,0.0,17.984894783563334,13.716199131389423,72.22768807462114,0.0799126637554585,0.0829694323144104,0.0030567685589519,0.0030567685589519,0.0,0.0,0.0
6,"Bakersfield, CA",BAS LCD,HImin,67.71133652382741,6.926728768639445,-0.3364008599244623,6072,1.0,48.1480634920635,87.89237973999987,67.983,66.173,0.0,33.02857142857143,55.925,6.304178691678692,0.0,66.71133652382741,19.56327303176392,54.149099220897874,0.0354084321475625,0.0354084321475625,0.0,0.0,0.0,0.0,0.0
7,"Baltiore, MD",MSC LCD,HImin,72.27863128927363,6.129301232140467,-0.0385844210384285,1831,49.67300000000001,55.67255,96.5681896399999,72.58500000000001,74.08900000000001,0.35,58.25,61.566,9.342561327561327,0.1,22.605631289273624,16.606081289273632,59.74228205780936,0.0884762424904423,0.0922992900054615,0.0038230475150191,0.0038230475150191,0.0,0.0,0.0
8,"Birmingham, AL",BHA LCD,HImin,70.67034506604803,5.013685085558611,-1.389626395501833,6164,8.0,51.11475806451614,86.82201804000003,71.60700000000001,72.21800000000002,0.0,56.114285714285714,60.54325000000001,8.214561392173334,0.0,62.67034506604803,19.55558700153189,71.0193987457835,0.0113562621674237,0.0113562621674237,0.0,0.0,0.0,0.0,0.0
9,"Boise, ID",BAT LCD,HImin,55.80849350483289,7.802635852806349,0.011035953808975,7031,32.0,37.15745833333333,80.65152250000007,55.756,54.12000000000001,0.0,2.566666666666667,42.96,1.0,0.0,23.80849350483289,18.651035171499565,56.98915545589348,0.0004266818375764,0.0004266818375764,0.0,0.0,0.0,0.0,0.0
10,"Boston, MA",BMA LCD,HImin,63.47615841827183,6.571149584589175,-0.2672322572573383,6909,3.0,45.35887142857143,88.35107948000007,63.70000000000002,63.23000000000002,0.0,13.55,52.183,3.316154970760234,0.0,60.47615841827183,18.1172869897004,67.94123735333982,0.0037632074106238,0.0037632074106238,0.0,0.0,0.0,0.0,0.0
11,"Bryce Canyon, UT",BCA LCD,HImin,44.29175776518852,7.812267191484964,0.1678861718812844,5119,19.0,25.196428571428573,74.47500000000001,43.900000000000006,37.0,0.0,0.0571428571428571,32.0,0.0,0.0,25.29175776518852,19.095329193759948,59.23349478796104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Buffalo, NY",BNI LCD,HImin,60.12043324153749,7.331673250131305,-0.2226933988692602,6348,38.0,40.813176470588246,82.5797693399999,60.400000000000006,56.63000000000001,0.0,7.428571428571429,47.36000000000001,2.0434782608695654,0.0,22.12043324153749,19.307256770949245,73.43260618684381,0.0003150598613736,0.0003150598613736,0.0,0.0,0.0,0.0,0.0
13,"Casper, WY",CNA LCD,HImin,50.94404331602855,6.986353853781831,-0.0520459624014402,6164,26.0,34.0375,72.46300000000001,51.083000000000006,50.124,0.0,0.1125,39.0,0.0,0.0,24.944043316028548,16.906543316028547,57.43116278003957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Cavern City, NM",CCA LCD,HImin,67.9195666077523,4.361287493328634,-0.5663740315156226,5202,47.661,53.35877358490567,82.91822516000009,68.373,68.73000000000002,0.0,20.6,59.93050000000001,4.015987569934938,0.0,20.2585666077523,14.560793022846632,48.65399312150718,0.0015378700499807,0.0015378700499807,0.0,0.0,0.0,0.0,0.0
15,"Charlotte, NC",CDA LCD,HImin,69.16786870364375,4.921102930098868,-1.2857557865961298,6164,6.0,51.26136923076925,83.07507340000012,70.11200000000001,72.21800000000002,0.0,43.34285714285714,59.742,6.240478882643061,0.0,63.16786870364375,17.9064994728745,68.09401322160672,0.0024334847501622,0.0024334847501622,0.0,0.0,0.0,0.0,0.0
16,"Chicago, IL",COI LCD,HImin,61.93572280773201,8.06995018411172,-0.232943656325292,6433,38.0,40.40327397260275,98.45744866,62.412000000000006,61.030000000000015,0.025,12.525,47.83000000000001,3.014625850340136,0.0,23.935722807732013,21.532448835129266,71.17287504106001,0.0069951810974661,0.0074615265039639,0.0004663454064977,0.0004663454064977,0.0,0.0,0.0
