,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,HImax,86.13149498954134,4.490241123325871,-0.6936569721518324,6256,62.26200000000001,96.2680324693516,100.11720560566052,86.56072476000004,88.43699445999991,0.0,16.4,92.6534557400001,3.921621148459384,0.0,13.985710616119178,10.136537479810258,42.49595905295491,0.7352941176470589,0.921994884910486,0.1867007672634271,0.1867007672634271,0.0,0.0,0.0
2,"Amarillo, TX",AAS LCD,HImax,88.15236561563754,6.810149548607053,-0.7414411286602122,6849,54.712,103.14588894969852,107.14462764000004,88.88783256000008,92.1872633800001,0.0,36.0875,97.8623087000001,5.370603655603656,0.0,18.992262024362503,14.993523334060995,59.06518562307874,0.4673674989049496,0.897503285151117,0.4256095780405898,0.4301357862461673,0.0045262082055774,0.0045262082055774,0.0
3,"Atlanta, GA",AHJ LCD,HImax,90.24717525887088,6.800212379442385,-0.2934330334655456,6164,58.501000000000005,107.69672275483876,116.33472428000027,90.42005445999996,91.87880749999998,0.3428571428571428,45.98571428571429,100.83349635999996,7.208404406538735,0.1194029850746268,26.087549021129405,17.449547495967863,69.17149640398807,0.403796236210253,0.936080467229072,0.5103828682673589,0.5322842310188189,0.02190136275146,0.02190136275146,0.0
4,"Augusta, ME",ASA LCD,HImax,77.02394942266307,8.67641265288728,-0.070984670099762,4784,46.683,101.27203480980396,113.51385534000012,77.19200000000001,83.5548902400001,0.0428571428571428,4.085714285714285,90.99460410000006,1.9567307692307687,0.0,36.489905917337055,24.248085387140904,73.13627070443104,0.3235785953177257,0.3844063545150502,0.0585284280936454,0.0608277591973244,0.0022993311036789,0.0022993311036789,0.0
5,"Austin, TX",ABI LCD,HImax,99.72024294053278,5.25056823223071,-0.78237713732297,2290,75.37700000000001,113.07457288173914,125.65553315999996,100.45656476000002,103.57818513999987,2.5,69.66666666666667,106.7872437600001,48.61233333333334,0.94,25.935290219467163,13.35432994120636,72.22768807462114,0.0445414847161572,0.9951965065502184,0.6908296943231441,0.9506550218340613,0.2589519650655021,0.259825327510917,0.0008733624454148
6,"Bakersfield, CA",BAS LCD,HImax,92.73453420717246,7.217707114600859,-0.232982176266486,6072,62.35600000000001,110.8437751645902,124.66446319999994,93.12581094,93.77674204000004,1.3714285714285714,56.2,103.93941394000004,10.07145262145262,0.7121212121212122,31.929928992827485,18.10924095741776,54.149099220897874,0.2982542819499341,0.9576745718050066,0.5950263504611331,0.6594202898550725,0.0642292490118577,0.0643939393939393,0.0001646903820816
7,"Baltiore, MD",MSC LCD,HImax,88.73437528418353,8.737346744019105,0.1092781120146176,1831,59.93000000000001,112.10082589047624,123.26271004000002,88.38362866000003,92.5703171,1.4,37.3,103.37747235999991,4.792242063492063,0.8,34.52833475581649,23.36645060629272,59.74228205780936,0.4341889677771709,0.8716548334243582,0.3801201529219006,0.4374658656471873,0.0573457127252867,0.0573457127252867,0.0
8,"Birmingham, AL",BHA LCD,HImax,93.1488340056814,6.866107080972923,-0.3410831744183921,6164,66.248,109.98071761774204,116.46377860000018,93.60230675999996,97.50578409999994,1.1857142857142855,60.58571428571429,103.39034695300008,10.512537959552883,0.4353233830845771,23.31494459431877,16.831883612060622,71.0193987457835,0.2660609993510707,0.9657689811810511,0.6393575600259571,0.6997079818299805,0.0603504218040233,0.0603504218040233,0.0
9,"Boise, ID",BAT LCD,HImax,83.09978117134442,8.903963325787421,-0.7476018082839632,7031,45.95000000000001,101.33431293785488,105.78320949999998,84.43184645999997,89.65836704000002,0.0,17.055555555555557,95.01041178000006,3.8753968253968254,0.0,22.68342832865557,18.23453176651047,56.98915545589348,0.4753235670601621,0.6966292134831461,0.2195989190726781,0.2213056464229839,0.0017067273503057,0.0017067273503057,0.0
10,"Boston, MA",BMA LCD,HImax,79.48463335482704,9.769754156997818,0.037647167823269,6909,47.2,104.66771898253523,109.34570814000004,79.46980746000006,86.25746244000007,0.0875,11.9375,96.03171006000002,2.668765664160401,0.0,29.861074785173003,25.18308562770821,67.94123735333982,0.348820379215516,0.4890722246345346,0.1315675206252713,0.1402518454190186,0.0086843247937472,0.0086843247937472,0.0
11,"Bryce Canyon, UT",BCA LCD,HImax,74.80367803242787,6.712937003729556,-1.2054400336892075,5119,38.0,86.80065435435814,124.7661086400001,76.25200000000001,75.622,0.0142857142857142,0.0285714285714285,82.65226960000001,0.0,0.0,49.96243060757223,11.996976321930276,59.23349478796104,0.1959367063879664,0.1963274076968157,0.0001953506544246,0.0003907013088493,0.0,0.0001953506544246,0.0001953506544246
12,"Buffalo, NY",BNI LCD,HImax,78.14056023106492,7.778544067929152,-0.1767950037133088,6348,47.896,98.26691030156248,108.88103104000004,78.292,80.53665018000004,0.0285714285714285,5.257142857142857,90.42005445999996,1.6070048309178744,0.0,30.740470808935115,20.12635007049757,73.43260618684381,0.3850031505986137,0.4434467548834278,0.0578134845620667,0.0584436042848141,0.0006301197227473,0.0006301197227473,0.0
13,"Casper, WY",CNA LCD,HImax,80.38202265290357,8.157966003369005,-1.3676039232038255,6164,36.0,94.37487298309688,98.36703005999998,82.14754056000001,85.91492598000002,0.0,4.0875,90.07408205999998,1.6318407960199006,0.0,17.985007407096404,13.992850330193306,57.43116278003957,0.5923101881894873,0.6461713173264114,0.053861129136924,0.053861129136924,0.0,0.0,0.0
14,"Cavern City, NM",CCA LCD,HImax,92.4582947844928,5.653633752257008,-0.7252395224573159,5202,63.90700000000001,106.0941893335112,110.93367454000008,92.9861568000001,96.55752758000008,0.1375,45.6875,100.63612136000012,8.856493506493507,0.087719298245614,18.47537975550729,13.635894549018404,48.65399312150718,0.2597078046905036,0.9759707804690504,0.7020376778162245,0.7162629757785467,0.0142252979623221,0.0142252979623221,0.0
15,"Charlotte, NC",CDA LCD,HImax,90.11011293925374,7.324091082218795,-0.3975722898974843,6164,57.84300000000001,106.71649064516136,111.2547675000001,90.42005445999996,92.9759617199999,0.2857142857142857,45.614285714285714,101.16796217999996,6.316104583641896,0.1194029850746268,21.14465456074636,16.606377705907633,68.09401322160672,0.3903309539260221,0.917910447761194,0.5068137573004543,0.527579493835172,0.0207657365347177,0.0207657365347177,0.0
16,"Chicago, IL",COI LCD,HImax,82.80848722756103,9.795227144509344,0.1576663580797223,6433,51.76,110.2743600755225,120.01668096,82.33702599999997,87.25981864000005,0.8375,17.5875,99.73024546000023,3.2206859410430844,0.4142857142857143,37.20819373243897,27.465872847961464,71.17287504106001,0.3998134618374009,0.6211720814549977,0.1949323799160578,0.2213586196175967,0.0264262397015389,0.0264262397015389,0.0
17,"Cincinnati, OH",CMA LCD,HImax,87.48663182322284,8.564117037071547,0.0593305686720238,3680,55.671000000000014,110.6112496551352,119.29146044000008,87.18605358000005,94.69494879999984,0.925,33.55,101.78585428000008,4.470706168831169,0.475,31.804828616777243,23.12461783191236,75.72689903916357,0.45,0.8247282608695652,0.3358695652173913,0.3747282608695652,0.0388586956521739,0.0388586956521739,0.0
18,"Cleveland, OH",CHA LCD,HImax,81.14560641641793,8.818849303082677,0.0153522277008247,6164,49.983,104.66501520806456,116.70161766000022,81.38535813999997,82.77593964000002,0.1714285714285714,13.642857142857142,95.6122874999999,2.888663823738451,0.0597014925373134,35.55601124358229,23.519408791646622,72.1649980282403,0.4149902660609993,0.573004542504867,0.1515249837767683,0.1580142764438676,0.0064892926670992,0.0064892926670992,0.0
19,"Colorado Springs, CO",CSA LCD,HImax,79.36294634718782,7.041450723354728,-1.2615752050650124,5704,40.083000000000006,91.66093636220582,95.56860998000002,80.83119023999998,81.57362634000003,0.0,1.1142857142857143,87.94000450000003,0.4838709677419355,0.0,16.205663632812204,12.297990015018,52.134911461542245,0.5624123422159888,0.576437587657784,0.0140252454417952,0.0140252454417952,0.0,0.0,0.0
20,"Columbus, OH",JGA LCD,HImax,84.29162188675295,8.153207278568123,0.0417997714922951,5796,53.96,106.22963137254234,116.13116179999994,84.08046610000008,92.9759617199999,0.3142857142857143,19.38571428571429,98.56848048000006,3.5831443688586546,0.1587301587301587,31.839539913246995,21.9380094857894,70.86659809497179,0.4867149758454106,0.7244651483781919,0.2256728778467908,0.2377501725327812,0.0120772946859903,0.0120772946859903,0.0
21,"Corpus Christi, TX",CCI LCD,HImax,101.3582498882795,5.15860098638186,-0.6667832221503756,6440,78.39500000000001,113.44376203014936,116.70161766000022,101.8932458400002,100.83863073999991,9.871428571428572,87.98571428571428,108.88103104000004,58.19380952380952,2.4133333333333336,15.343367771720722,12.08551214186987,76.66316115396938,0.0285714285714285,0.999223602484472,0.5562111801242235,0.9706521739130436,0.4144409937888199,0.4144409937888199,0.0
22,"Dallas, TX",DFA LCD,HImax,98.20537925631368,7.0200238416036775,-0.5569707077651018,6440,64.471,115.14781468757576,129.90279285999992,99.08119586,99.2736447400001,6.514285714285714,78.91428571428571,108.28453936000002,20.381927437641725,1.7546598639455782,31.69741360368623,16.94243543126207,64.01742101545894,0.1177018633540372,0.9877329192546584,0.6256211180124224,0.8700310559006211,0.2442546583850931,0.2444099378881987,0.0001552795031055
23,"Denver, CO",DIA LCD,HImax,80.66569316573054,9.686186445144749,-1.3436312014956262,2515,35.0,94.54312273856078,96.627285424891,83.29276396000004,87.84975155999999,0.0,6.325,91.48922446000005,2.207063492063492,0.0,15.961592259160454,13.877429572830238,55.45966051796918,0.5697813121272366,0.6747514910536779,0.1049701789264413,0.1049701789264413,0.0,0.0,0.0
24,"Detroit, MI",DCA LCD,HImax,81.73413880630295,8.702218281466791,0.1324837336382297,5975,50.284000000000006,106.98753131508204,118.03906654,81.61650366000008,81.18997366000013,0.3285714285714285,13.785714285714286,96.48962875999996,2.845744810744811,0.123076923076923,36.304927733697056,25.2533925087791,68.76837028851061,0.4378242677824268,0.6020083682008368,0.1521338912133891,0.16418410041841,0.0120502092050209,0.0120502092050209,0.0
25,"Dickinson, ND",DRA LCD,HImax,78.894728611882,9.75268561095756,-0.3445897413272403,5610,40.0,101.71050349830514,107.2883695000001,79.95900604000012,78.433,0.0142857142857142,9.928571428571429,93.76882043999984,2.3857468123861567,0.0,28.3936408881181,22.815774886423146,68.74575248164174,0.3711229946524064,0.4957219251336898,0.1219251336898395,0.1245989304812834,0.0026737967914438,0.0026737967914438,0.0
26,"Dodge City, KS",DCA LCD,HImax,89.57323201768315,8.620892484905088,-0.6564894831536323,6403,51.60000000000001,106.25424190830776,111.87412158,90.79691534000008,90.03586347999996,0.175,41.725,101.59363336000006,6.166681612038755,0.0428571428571428,22.30088956231685,16.681009890624594,63.6251790004033,0.3420271747618303,0.8717788536623458,0.506793690457598,0.5297516789005153,0.0229579884429173,0.0229579884429173,0.0
27,"Fargo, ND",FHA LCD,HImax,80.128335158983,9.244880717870924,0.1009829487859694,5703,45.63000000000001,106.48340557796608,116.44054503999988,80.46448444000004,80.37421374,0.2571428571428571,10.814285714285717,96.03171006000002,2.6922427035330263,0.0806451612903225,36.31220988101688,26.355070418983075,71.30835996563705,0.396458004559004,0.5304225846045941,0.1225670699631772,0.13396458004559,0.0113975100824127,0.0113975100824127,0.0
