,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall,Pcau,POcau,Pexcau,POexcau,Pdan,POdan,Pexdan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Miami, FL",MIA LCD,HImax,86.9340206,10.14965757,-0.429549764,3653,40,105.6515116,109.0197281,86.82201804,99.11728156,328.8,131.4,101.0160522,15.77777778,0,22.08570746,18.71749097,72.39957584,0.35888311,0.76567205,0.382425404,0.406788941,0.024363537,0.024363537,0
